co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Abdulrahman AlKassem,Mazen Rukayni,Magadeer,Saudi Arabia,site:linkedin.com/in Abdulrahman AlKassem Magadeer Saudi Arabia,site:linkedin.com/in Mazen Rukayni Magadeer Saudi Arabia,,https://sa.linkedin.com/in/mazen-rukayni,,
Omar Bayazid,Tareq Jendi,EjarTech,Saudi Arabia,site:linkedin.com/in Omar Bayazid EjarTech Saudi Arabia,site:linkedin.com/in Tareq Jendi EjarTech Saudi Arabia,,,,
Suliman Alblowi,,Karaz Health,Saudi Arabia,site:linkedin.com/in Suliman Alblowi Karaz Health Saudi Arabia,,https://sa.linkedin.com/in/dr-suliman-alblowi,,,
Yasser AlAhmed,,Sawah,Saudi Arabia,site:linkedin.com/in Yasser AlAhmed Sawah Saudi Arabia,,https://sa.linkedin.com/in/yasser-alahmed-826901b,,,
Lubna Al Badr,Talal AlBadr,TeeArabia,Saudi Arabia,site:linkedin.com/in Lubna Al Badr TeeArabia Saudi Arabia,site:linkedin.com/in Talal AlBadr TeeArabia Saudi Arabia,https://sa.linkedin.com/in/lubna-al-badr-617327117,,,
Arwa Alruzuq,,TechnoHeal,Saudi Arabia,site:linkedin.com/in Arwa Alruzuq TechnoHeal Saudi Arabia,,,,,
Fouad Jeryes,Sinan Taifour,Maqsam,Saudi Arabia,site:linkedin.com/in Fouad Jeryes Maqsam Saudi Arabia,site:linkedin.com/in Sinan Taifour Maqsam Saudi Arabia,https://www.linkedin.com/in/fouadjeryes/,,,
Omar Bader,,Jayeek,Saudi Arabia,site:linkedin.com/in Omar Bader Jayeek Saudi Arabia,,,,,
Alessandro Borgogna,Giacomo Ziani,Serviis,Saudi Arabia,site:linkedin.com/in Alessandro Borgogna Serviis Saudi Arabia,site:linkedin.com/in Giacomo Ziani Serviis Saudi Arabia,https://www.linkedin.com/in/marwan-bejjani-7654a350,,,
AbdulWahid Al Zaydi,Mohammed Al Zaydi,Visual Experience,Saudi Arabia,site:linkedin.com/in AbdulWahid Al Zaydi Visual Experience Saudi Arabia,site:linkedin.com/in Mohammed Al Zaydi Visual Experience Saudi Arabia,https://sa.linkedin.com/in/abdulwahid-al-zaydi,,,
Imad Murad,Philip Bahoshy,Wasel Lee,Saudi Arabia,site:linkedin.com/in Imad Murad Wasel Lee Saudi Arabia,site:linkedin.com/in Philip Bahoshy Wasel Lee Saudi Arabia,,,,
Jacnito Walid Sanchez Mubarak,Mohammad Hassan Raffi,Muqawiloon.com,Saudi Arabia,site:linkedin.com/in Jacnito Walid Sanchez Mubarak Muqawiloon.com Saudi Arabia,site:linkedin.com/in Mohammad Hassan Raffi Muqawiloon.com Saudi Arabia,,,,
Sultan Alkhayal,Yasser Alshurihi,Drahim,Saudi Arabia,site:linkedin.com/in Sultan Alkhayal Drahim Saudi Arabia,site:linkedin.com/in Yasser Alshurihi Drahim Saudi Arabia,https://sa.linkedin.com/in/sultanalkhayal,,,
Shashikant Patole,,Graphene Crystal,Saudi Arabia,site:linkedin.com/in Shashikant Patole Graphene Crystal Saudi Arabia,,https://ae.linkedin.com/in/shashikant-patole-16b96270,,,
Basim Albeladi,Mazen Rukayni,Labayh,Saudi Arabia,site:linkedin.com/in Basim Albeladi Labayh Saudi Arabia,site:linkedin.com/in Mazen Rukayni Labayh Saudi Arabia,https://sa.linkedin.com/in/basimalbeladi,,,
Kuan Sheng Ho,Robert Werfelmann,Oaises,Saudi Arabia,site:linkedin.com/in Kuan Sheng Ho Oaises Saudi Arabia,site:linkedin.com/in Robert Werfelmann Oaises Saudi Arabia,,,,
Mohammad Alansari,,Sanar,Saudi Arabia,site:linkedin.com/in Mohammad Alansari Sanar Saudi Arabia,,https://sa.linkedin.com/in/mohammad-alansari-27742711,,,
Abdul Malik Ai sanea,Dr Saleh AI Farih,Mekyal Financial Technologies,Saudi Arabia,site:linkedin.com/in Abdul Malik Ai sanea Mekyal Financial Technologies Saudi Arabia,site:linkedin.com/in Dr Saleh AI Farih Mekyal Financial Technologies Saudi Arabia,,,,
Asmaa Alharbi,Jubran Alshahrani,Mod5r,Saudi Arabia,site:linkedin.com/in Asmaa Alharbi Mod5r Saudi Arabia,site:linkedin.com/in Jubran Alshahrani Mod5r Saudi Arabia,,,,
Ahmed Albadi,Ahmed Alghadani,byanat,Saudi Arabia,site:linkedin.com/in Ahmed Albadi byanat Saudi Arabia,site:linkedin.com/in Ahmed Alghadani byanat Saudi Arabia,https://om.linkedin.com/in/ahmed-albadi,,,
Yousef Abdullah,,Mntad,Saudi Arabia,site:linkedin.com/in Yousef Abdullah Mntad Saudi Arabia,,,,,
Anas Basalamah,Saleh Basalamah,Hazen.ai,Saudi Arabia,site:linkedin.com/in Anas Basalamah Hazen.ai Saudi Arabia,site:linkedin.com/in Saleh Basalamah Hazen.ai Saudi Arabia,https://sa.linkedin.com/in/anasbasalamah,,,
Abdulaziz Almoosa,Tarek Dahab,Shgardi,Saudi Arabia,site:linkedin.com/in Abdulaziz Almoosa Shgardi Saudi Arabia,site:linkedin.com/in Tarek Dahab Shgardi Saudi Arabia,https://sa.linkedin.com/in/abdulaziz-almoosa-a4515867,,,
Salwa Radwi,Wajd Badawi,Nuqtah NFT,Saudi Arabia,site:linkedin.com/in Salwa Radwi Nuqtah NFT Saudi Arabia,site:linkedin.com/in Wajd Badawi Nuqtah NFT Saudi Arabia,https://sa.linkedin.com/in/salwaradwi,,,
Abdullah Aljassim,,GrintaHub,Saudi Arabia,site:linkedin.com/in Abdullah Aljassim GrintaHub Saudi Arabia,,https://sa.linkedin.com/in/abdullahj4,,,
Ali Zuaiter,,Yasmina,Saudi Arabia,site:linkedin.com/in Ali Zuaiter Yasmina Saudi Arabia,,https://sa.linkedin.com/in/alizuaiter,,,
Abdulfatah Khalil Kurdi,,Osool,Saudi Arabia,site:linkedin.com/in Abdulfatah Khalil Kurdi Osool Saudi Arabia,,,,,
Abdulaziz Alsenan,,PetroApp,Saudi Arabia,site:linkedin.com/in Abdulaziz Alsenan PetroApp Saudi Arabia,,https://sa.linkedin.com/in/abdulaziz-alasaker-mfa-4a622b179,,,
Ebrahim Saeed,Wael Hassan,Sweply,Saudi Arabia,site:linkedin.com/in Ebrahim Saeed Sweply Saudi Arabia,site:linkedin.com/in Wael Hassan Sweply Saudi Arabia,https://sa.linkedin.com/in/wael-hassan,,,
Abdullah Almansour,Saleh Albatti,Naeem,Saudi Arabia,site:linkedin.com/in Abdullah Almansour Naeem Saudi Arabia,site:linkedin.com/in Saleh Albatti Naeem Saudi Arabia,https://sa.linkedin.com/in/abdullahalmansour,,,
Amin Elhemaily,Asad Khan,Nuxera,Saudi Arabia,site:linkedin.com/in Amin Elhemaily Nuxera Saudi Arabia,site:linkedin.com/in Asad Khan Nuxera Saudi Arabia,https://sa.linkedin.com/in/amin-elhemaily-001a0474,,,
Mostafa K. Attia,,Seyaha,Saudi Arabia,site:linkedin.com/in Mostafa K. Attia Seyaha Saudi Arabia,,https://de.linkedin.com/in/mokatia,,,
Salaal Hasan,,Ahya,Saudi Arabia,site:linkedin.com/in Salaal Hasan Ahya Saudi Arabia,,https://sa.linkedin.com/in/salaalhasan,,,
Abdulrahman Al-Mulqi,Ali Al-Mohsen,AYEN | عاين,Saudi Arabia,site:linkedin.com/in Abdulrahman Al-Mulqi AYEN | عاين Saudi Arabia,site:linkedin.com/in Ali Al-Mohsen AYEN | عاين Saudi Arabia,https://sa.linkedin.com/in/abdulrahman-almulqi/ar,,,
Mutlaq Alsubaie,,Wee,Saudi Arabia,site:linkedin.com/in Mutlaq Alsubaie Wee Saudi Arabia,,https://sa.linkedin.com/in/drsubaie,,,
Younis Al Jameel,,Limoz,Saudi Arabia,site:linkedin.com/in Younis Al Jameel Limoz Saudi Arabia,,https://sa.linkedin.com/in/younis-aljameel/ar,,,
Adel Alghuraybi,Feras Alhenashil,Splyd,Saudi Arabia,site:linkedin.com/in Adel Alghuraybi Splyd Saudi Arabia,site:linkedin.com/in Feras Alhenashil Splyd Saudi Arabia,https://sa.linkedin.com/in/adelalghuraybi,,,
Abdulelah Alkesaiberi,ABDULLAH ALHAWSAWI,ballurh,Saudi Arabia,site:linkedin.com/in Abdulelah Alkesaiberi ballurh Saudi Arabia,site:linkedin.com/in ABDULLAH ALHAWSAWI ballurh Saudi Arabia,,,,
Nawaf Alabra,,e-Procure,Saudi Arabia,site:linkedin.com/in Nawaf Alabra e-Procure Saudi Arabia,,https://sa.linkedin.com/in/nawaf-alabra,,,
Sami Almoeehi,,Wazen,Saudi Arabia,site:linkedin.com/in Sami Almoeehi Wazen Saudi Arabia,,https://sa.linkedin.com/in/%D8%B3%D8%A7%D9%85%D9%8A-%D8%A7%D9%84%D9%85%D9%88%D9%8A%D9%87%D9%8A-0124b6151,,,
Radwan Abudawood,,Smart Booking,Saudi Arabia,site:linkedin.com/in Radwan Abudawood Smart Booking Saudi Arabia,,https://in.linkedin.com/in/noor-ahmed-ansari-87709925,,,
Andrea Cafege,,XCUTE,Saudi Arabia,site:linkedin.com/in Andrea Cafege XCUTE Saudi Arabia,,,,,
Mohamed Zohair,,YaSchools,Saudi Arabia,site:linkedin.com/in Mohamed Zohair YaSchools Saudi Arabia,,https://sa.linkedin.com/in/muhamedzohair,,,
Abdulrahman Altheeb,Alhanoof Alzahrani,Scopeer,Saudi Arabia,site:linkedin.com/in Abdulrahman Altheeb Scopeer Saudi Arabia,site:linkedin.com/in Alhanoof Alzahrani Scopeer Saudi Arabia,https://sa.linkedin.com/in/abdulrahman-altheeb,,,
Fawaz Samara,Saber Samara,Nabeeh,Saudi Arabia,site:linkedin.com/in Fawaz Samara Nabeeh Saudi Arabia,site:linkedin.com/in Saber Samara Nabeeh Saudi Arabia,https://qa.linkedin.com/in/ahmed-alshrqawy-0474b9108,,,
Abdulrahman Almubaraky,,Foodbit,Saudi Arabia,site:linkedin.com/in Abdulrahman Almubaraky Foodbit Saudi Arabia,,,,,
Bader Alhammad,,Koora Break,Saudi Arabia,site:linkedin.com/in Bader Alhammad Koora Break Saudi Arabia,,https://sa.linkedin.com/in/bader-alhammad-aa462b7b,,,
Amine Berraoui,,Behja,Saudi Arabia,site:linkedin.com/in Amine Berraoui Behja Saudi Arabia,,,,,
Abdulaziz Al-Jasser,Ahmad Ramadan,Wafeer,Saudi Arabia,site:linkedin.com/in Abdulaziz Al-Jasser Wafeer Saudi Arabia,site:linkedin.com/in Ahmad Ramadan Wafeer Saudi Arabia,,,,
Mohammad Alhathel,,Tammwel,Saudi Arabia,site:linkedin.com/in Mohammad Alhathel Tammwel Saudi Arabia,,https://sa.linkedin.com/in/mhathel,,,
Abdulrahman A. AlBeteri,Mohammed Alfayez,Dallali,Saudi Arabia,site:linkedin.com/in Abdulrahman A. AlBeteri Dallali Saudi Arabia,site:linkedin.com/in Mohammed Alfayez Dallali Saudi Arabia,,,,
Mohammed bin Rashid Al-Hamali,,Mawidy,Saudi Arabia,site:linkedin.com/in Mohammed bin Rashid Al-Hamali Mawidy Saudi Arabia,,,,,
Abdulaziz Baraqabah,,Blomal,Saudi Arabia,site:linkedin.com/in Abdulaziz Baraqabah Blomal Saudi Arabia,,https://sa.linkedin.com/in/abdulaziz-baraqabah-69992b51,,,
Rami El-Ashi,,DMR Analytics,Saudi Arabia,site:linkedin.com/in Rami El-Ashi DMR Analytics Saudi Arabia,,https://sa.linkedin.com/in/khalid-tirsen-a37201118,,,
Abdullah AlKuhaimi,,Saydl,Saudi Arabia,site:linkedin.com/in Abdullah AlKuhaimi Saydl Saudi Arabia,,https://sa.linkedin.com/in/abdullah-alkuhaimi,,,
Abdullah Almuribh,Qutaibah Essa,ORO,Saudi Arabia,site:linkedin.com/in Abdullah Almuribh ORO Saudi Arabia,site:linkedin.com/in Qutaibah Essa ORO Saudi Arabia,,,,
Abdul-Rahman Mardini,Fahad Aldabal,Offeree,Saudi Arabia,site:linkedin.com/in Abdul-Rahman Mardini Offeree Saudi Arabia,site:linkedin.com/in Fahad Aldabal Offeree Saudi Arabia,https://sa.linkedin.com/in/hashim-mardini-%E2%80%9Ccbp-executive%E2%80%9D-7b366586?trk=organization_guest_main-feed-card-text,,,
Ghali A. Miyajan,,PrintHub,Saudi Arabia,site:linkedin.com/in Ghali A. Miyajan PrintHub Saudi Arabia,,,,,
shehab farhan,,Chart,Saudi Arabia,site:linkedin.com/in shehab farhan Chart Saudi Arabia,,https://sa.linkedin.com/in/m-alshehab,,,
Ibrahim Siddiqui,Sahil Abdul Jaleel,Truc-King,Saudi Arabia,site:linkedin.com/in Ibrahim Siddiqui Truc-King Saudi Arabia,site:linkedin.com/in Sahil Abdul Jaleel Truc-King Saudi Arabia,https://sa.linkedin.com/in/ibrahimsid,,,
Fadi Yahya,,Suplift,Saudi Arabia,site:linkedin.com/in Fadi Yahya Suplift Saudi Arabia,,https://sa.linkedin.com/in/fadiyahya,,,
Alok H Kumar,Faizan Baig,Leap App,Saudi Arabia,site:linkedin.com/in Alok H Kumar Leap App Saudi Arabia,site:linkedin.com/in Faizan Baig Leap App Saudi Arabia,https://ae.linkedin.com/in/alokhk,,,
Jerais Abdulaziz,,Cybersenshi,Saudi Arabia,site:linkedin.com/in Jerais Abdulaziz Cybersenshi Saudi Arabia,,https://sa.linkedin.com/in/jerais,,,
Abdulkareem Aloumi,Ayman AlZamil,Ygii App,Saudi Arabia,site:linkedin.com/in Abdulkareem Aloumi Ygii App Saudi Arabia,site:linkedin.com/in Ayman AlZamil Ygii App Saudi Arabia,https://sa.linkedin.com/in/abdulkareem-aloumi,,,
Alaa AlMajhad,,Tact Digital Marketing,Saudi Arabia,site:linkedin.com/in Alaa AlMajhad Tact Digital Marketing Saudi Arabia,,,,,
Mohammad AlHareeqi,Mustafa Nabulsi,Acadox,Saudi Arabia,site:linkedin.com/in Mohammad AlHareeqi Acadox Saudi Arabia,site:linkedin.com/in Mustafa Nabulsi Acadox Saudi Arabia,,,,
Abdulrahman Abdullah,,Table Knight Games,Saudi Arabia,site:linkedin.com/in Abdulrahman Abdullah Table Knight Games Saudi Arabia,,https://sa.linkedin.com/in/abdulrahman-a-a75bb4260?trk=public_profile_browsemap,,,
Abdulrahman Shahbar,Naif Jahlan,Warsha Plus,Saudi Arabia,site:linkedin.com/in Abdulrahman Shahbar Warsha Plus Saudi Arabia,site:linkedin.com/in Naif Jahlan Warsha Plus Saudi Arabia,https://sa.linkedin.com/in/abdulrahman-shahbar-46357859,,,
Moataz Abuonq,,chartwqf,Saudi Arabia,site:linkedin.com/in Moataz Abuonq chartwqf Saudi Arabia,,,,,
Abdulmohsen Alshatwi,KA AL,TAWARED TECHNOLOGY,Saudi Arabia,site:linkedin.com/in Abdulmohsen Alshatwi TAWARED TECHNOLOGY Saudi Arabia,site:linkedin.com/in KA AL TAWARED TECHNOLOGY Saudi Arabia,,,,
Abdullah Al Zamel,,Raz Amwal,Saudi Arabia,site:linkedin.com/in Abdullah Al Zamel Raz Amwal Saudi Arabia,,,,,
Abdulaziz Al Saif,Fahad Bin Mansour,Fayvo,Saudi Arabia,site:linkedin.com/in Abdulaziz Al Saif Fayvo Saudi Arabia,site:linkedin.com/in Fahad Bin Mansour Fayvo Saudi Arabia,,https://sa.linkedin.com/in/fahad-m-alsaud-66151482,,
Diana Rayyan,Reem Bakheet,{Kees Chic},Saudi Arabia,site:linkedin.com/in Diana Rayyan {Kees Chic} Saudi Arabia,site:linkedin.com/in Reem Bakheet {Kees Chic} Saudi Arabia,,,,
Jihad Alammar,Ziyad Alghannam,Qaym,Saudi Arabia,site:linkedin.com/in Jihad Alammar Qaym Saudi Arabia,site:linkedin.com/in Ziyad Alghannam Qaym Saudi Arabia,,,,
Nasser Abuhaimed,,GHIRASS,Saudi Arabia,site:linkedin.com/in Nasser Abuhaimed GHIRASS Saudi Arabia,,https://sa.linkedin.com/in/nasser-abuhaimed-87b2b09a,,,
Hussein Attar,Mohammed Al-Zahrani,Sawerly,Saudi Arabia,site:linkedin.com/in Hussein Attar Sawerly Saudi Arabia,site:linkedin.com/in Mohammed Al-Zahrani Sawerly Saudi Arabia,https://sa.linkedin.com/in/husseinattar,,,
Ibraheem Almedeiheem,,LaanCare,Saudi Arabia,site:linkedin.com/in Ibraheem Almedeiheem LaanCare Saudi Arabia,,,,,
Yasser Al-Ammari,,Coffinado,Saudi Arabia,site:linkedin.com/in Yasser Al-Ammari Coffinado Saudi Arabia,,,,,
Ahmed Al-Oraifi,Muaath Altukhaifi,Shiftah,Saudi Arabia,site:linkedin.com/in Ahmed Al-Oraifi Shiftah Saudi Arabia,site:linkedin.com/in Muaath Altukhaifi Shiftah Saudi Arabia,,https://sa.linkedin.com/in/muaathmt,,
Abdulaziz Alshehri,,Qusinvest,Saudi Arabia,site:linkedin.com/in Abdulaziz Alshehri Qusinvest Saudi Arabia,,,,,
Awadh Alqufaili,Basil Al Hanbali,Brexm,Saudi Arabia,site:linkedin.com/in Awadh Alqufaili Brexm Saudi Arabia,site:linkedin.com/in Basil Al Hanbali Brexm Saudi Arabia,,,,
Ziad Alkhodhairi,,ZeeWhere,Saudi Arabia,site:linkedin.com/in Ziad Alkhodhairi ZeeWhere Saudi Arabia,,,,,
Abdulla Almazrooa,,MIQYAS,Saudi Arabia,site:linkedin.com/in Abdulla Almazrooa MIQYAS Saudi Arabia,,,,,
Rimantas Kodzius,,Envirola,Saudi Arabia,site:linkedin.com/in Rimantas Kodzius Envirola Saudi Arabia,,,,,
Abdulaziz Al Abdulaziz,Abdullah AlOtaibi,Smart Washr,Saudi Arabia,site:linkedin.com/in Abdulaziz Al Abdulaziz Smart Washr Saudi Arabia,site:linkedin.com/in Abdullah AlOtaibi Smart Washr Saudi Arabia,https://www.linkedin.com/in/abdulaziz-aljohani-450ba230,,,
Ali Alhawaiji,,Digitous,Saudi Arabia,site:linkedin.com/in Ali Alhawaiji Digitous Saudi Arabia,,https://sa.linkedin.com/in/ali-alhawaiji,,,
Jaues Venter,,Bankroll.ai,Saudi Arabia,site:linkedin.com/in Jaues Venter Bankroll.ai Saudi Arabia,,https://ie.linkedin.com/in/hanansaid,,,
Basem Alsallom,,Saboonah,Saudi Arabia,site:linkedin.com/in Basem Alsallom Saboonah Saudi Arabia,,,,,
Ahmed Alshami,,BE UNIQUE,Saudi Arabia,site:linkedin.com/in Ahmed Alshami BE UNIQUE Saudi Arabia,,https://www.linkedin.com/in/ahmed-alshami-870baa14,,,
Abdulaziz Alsaran,Abdullah Alsaif,Oxidane App,Saudi Arabia,site:linkedin.com/in Abdulaziz Alsaran Oxidane App Saudi Arabia,site:linkedin.com/in Abdullah Alsaif Oxidane App Saudi Arabia,,,,
Basim Zafar,Bernard Ghanem,Hachid,Saudi Arabia,site:linkedin.com/in Basim Zafar Hachid Saudi Arabia,site:linkedin.com/in Bernard Ghanem Hachid Saudi Arabia,https://www.linkedin.com/in/isam-ginawi-0130a071,,,
J.S. Vrouwenvelder,Szilard Bucs,Watsup Systems,Saudi Arabia,site:linkedin.com/in J.S. Vrouwenvelder Watsup Systems Saudi Arabia,site:linkedin.com/in Szilard Bucs Watsup Systems Saudi Arabia,https://nl.linkedin.com/in/j-s-hans-vrouwenvelder-99a2063b,,,
Ahmad Alsaadi,Lijo Francis,Green Desal,Saudi Arabia,site:linkedin.com/in Ahmad Alsaadi Green Desal Saudi Arabia,site:linkedin.com/in Lijo Francis Green Desal Saudi Arabia,https://om.linkedin.com/in/ahmed-alsaadi-17501011a,,,
Faycal Saffih,,N-Imaging,Saudi Arabia,site:linkedin.com/in Faycal Saffih N-Imaging Saudi Arabia,,https://tr.linkedin.com/in/faycals,,,
Valentin Rodionov,,Nanosferix,Saudi Arabia,site:linkedin.com/in Valentin Rodionov Nanosferix Saudi Arabia,,,,,
Ali Erchadi,Matther McCabe,AgDSS,Saudi Arabia,site:linkedin.com/in Ali Erchadi AgDSS Saudi Arabia,site:linkedin.com/in Matther McCabe AgDSS Saudi Arabia,,,,
Ali Aldamanhori,Amer Alabbar,Hasb,Saudi Arabia,site:linkedin.com/in Ali Aldamanhori Hasb Saudi Arabia,site:linkedin.com/in Amer Alabbar Hasb Saudi Arabia,https://ae.linkedin.com/in/fouadlamghari/en,,,
Mohammad Al-Razaz,,Jak Logistics,Saudi Arabia,site:linkedin.com/in Mohammad Al-Razaz Jak Logistics Saudi Arabia,,https://sa.linkedin.com/in/malrazaz/ar,,,
Ahmed Al Refae,Said Hassan,Zumrod Inc.,Saudi Arabia,site:linkedin.com/in Ahmed Al Refae Zumrod Inc. Saudi Arabia,site:linkedin.com/in Said Hassan Zumrod Inc. Saudi Arabia,,https://be.linkedin.com/in/saidh,,
Saud Alwahhabi,,Plus Gamer,Saudi Arabia,site:linkedin.com/in Saud Alwahhabi Plus Gamer Saudi Arabia,,https://sa.linkedin.com/in/mr-0ops,,,
Leena Babsail,,Honest,Saudi Arabia,site:linkedin.com/in Leena Babsail Honest Saudi Arabia,,,,,
Faisal Al Badani,,Benaa,Saudi Arabia,site:linkedin.com/in Faisal Al Badani Benaa Saudi Arabia,,,,,
Halah Alhamrani,,Flagboxing,Saudi Arabia,site:linkedin.com/in Halah Alhamrani Flagboxing Saudi Arabia,,,,,
Abdullah Sabei,,Nicein,Saudi Arabia,site:linkedin.com/in Abdullah Sabei Nicein Saudi Arabia,,,,,
Osama AlSalloum,,Nuzol,Saudi Arabia,site:linkedin.com/in Osama AlSalloum Nuzol Saudi Arabia,,,,,
Talal Abdullah,,Mechanice24,Saudi Arabia,site:linkedin.com/in Talal Abdullah Mechanice24 Saudi Arabia,,,,,
Sana'a Al Mahasneh,,Academi for information technology,Saudi Arabia,site:linkedin.com/in Sana'a Al Mahasneh Academi for information technology Saudi Arabia,,,,,
Mohammed Qamhieh,Nasser Zalmout,Daleeli,Saudi Arabia,site:linkedin.com/in Mohammed Qamhieh Daleeli Saudi Arabia,site:linkedin.com/in Nasser Zalmout Daleeli Saudi Arabia,,,,
Osman Masud,,The Game Company,United Arab Emirates,site:linkedin.com/in Osman Masud The Game Company United Arab Emirates,,https://ae.linkedin.com/in/osmanmasud,,,
Jon Edward Santillan,Nupur Mittal,Octa,United Arab Emirates,site:linkedin.com/in Jon Edward Santillan Octa United Arab Emirates,site:linkedin.com/in Nupur Mittal Octa United Arab Emirates,https://ae.linkedin.com/in/jonedwardsantillan,,,
Armin Moradi,Jonathon Lau,Qashio,United Arab Emirates,site:linkedin.com/in Armin Moradi Qashio United Arab Emirates,site:linkedin.com/in Jonathon Lau Qashio United Arab Emirates,https://ae.linkedin.com/in/arminmoradi,,,
Arvind Venkat,,AURA,United Arab Emirates,site:linkedin.com/in Arvind Venkat AURA United Arab Emirates,,https://ae.linkedin.com/in/aravindvenkat1,,,
Akshat Prakash,Avneesh Prakash,Camb.ai,United Arab Emirates,site:linkedin.com/in Akshat Prakash Camb.ai United Arab Emirates,site:linkedin.com/in Avneesh Prakash Camb.ai United Arab Emirates,https://www.linkedin.com/in/akshat-prakash,,,
Adam Ferris,Omar Abbas,BurjX,United Arab Emirates,site:linkedin.com/in Adam Ferris BurjX United Arab Emirates,site:linkedin.com/in Omar Abbas BurjX United Arab Emirates,,https://ae.linkedin.com/in/omar-abbas-99576728,,
Jennifer Solal,Riad Djabri,Hushday,United Arab Emirates,site:linkedin.com/in Jennifer Solal Hushday United Arab Emirates,site:linkedin.com/in Riad Djabri Hushday United Arab Emirates,https://ae.linkedin.com/in/jennifercohensolal/en,,,
Ahmad Khwileh,Dina Alsamhan,qeen.ai,United Arab Emirates,site:linkedin.com/in Ahmad Khwileh qeen.ai United Arab Emirates,site:linkedin.com/in Dina Alsamhan qeen.ai United Arab Emirates,https://ae.linkedin.com/in/ahmadkhwileh,,,
Khalid Bin Al Saud,Mohammad Khalili,ClearGrid,United Arab Emirates,site:linkedin.com/in Khalid Bin Al Saud ClearGrid United Arab Emirates,site:linkedin.com/in Mohammad Khalili ClearGrid United Arab Emirates,https://ae.linkedin.com/in/udayksingh,,,
Ahmad Coucha,Khaled Nassef,FlapKap,United Arab Emirates,site:linkedin.com/in Ahmad Coucha FlapKap United Arab Emirates,site:linkedin.com/in Khaled Nassef FlapKap United Arab Emirates,https://ae.linkedin.com/in/ahmad-coucha,,,
Steve Milton,,Fintopio,United Arab Emirates,site:linkedin.com/in Steve Milton Fintopio United Arab Emirates,,https://uk.linkedin.com/in/miltonsteve,,,
Karun Kurien,Parthi Duraisamy,Alaan,United Arab Emirates,site:linkedin.com/in Karun Kurien Alaan United Arab Emirates,site:linkedin.com/in Parthi Duraisamy Alaan United Arab Emirates,https://ae.linkedin.com/in/karun-kurien-3020504b,,,
Mohammed Aziz,Mohammed Ridwan,Pluto,United Arab Emirates,site:linkedin.com/in Mohammed Aziz Pluto United Arab Emirates,site:linkedin.com/in Mohammed Ridwan Pluto United Arab Emirates,https://ae.linkedin.com/in/moaziz-1,,,
Ahmad Malik,Anand Nagaraj,CredibleX,United Arab Emirates,site:linkedin.com/in Ahmad Malik CredibleX United Arab Emirates,site:linkedin.com/in Anand Nagaraj CredibleX United Arab Emirates,https://ae.linkedin.com/in/ahmadmalikrisk,,,
Abdulaziz Aljasser,Eyad Alkassar,qlub,United Arab Emirates,site:linkedin.com/in Abdulaziz Aljasser qlub United Arab Emirates,site:linkedin.com/in Eyad Alkassar qlub United Arab Emirates,https://ps.linkedin.com/in/yacoubtahhan,,,
Anshul Srivastava,Mahender Bisht,Proton,United Arab Emirates,site:linkedin.com/in Anshul Srivastava Proton United Arab Emirates,site:linkedin.com/in Mahender Bisht Proton United Arab Emirates,https://au.linkedin.com/in/anshul-srivastav-b57b514,,,
Asim Janjua,Imad Gharazeddine,Mamo,United Arab Emirates,site:linkedin.com/in Asim Janjua Mamo United Arab Emirates,site:linkedin.com/in Imad Gharazeddine Mamo United Arab Emirates,https://pt.linkedin.com/in/asimjanj,,,
Haseeb Ahmed,Raman Thiagarajan,zenda,United Arab Emirates,site:linkedin.com/in Haseeb Ahmed zenda United Arab Emirates,site:linkedin.com/in Raman Thiagarajan zenda United Arab Emirates,https://ae.linkedin.com/in/hbahmed,,,
Chris Carson,,EchoTwin AI,United Arab Emirates,site:linkedin.com/in Chris Carson EchoTwin AI United Arab Emirates,,https://www.linkedin.com/in/cwcarson,,,
Eduard Gevorkyan,Konstantin Birman,HALPER,United Arab Emirates,site:linkedin.com/in Eduard Gevorkyan HALPER United Arab Emirates,site:linkedin.com/in Konstantin Birman HALPER United Arab Emirates,https://es.linkedin.com/in/edward-gevorkyan,,,
Akeed Azmi,David Reche,Cercli,United Arab Emirates,site:linkedin.com/in Akeed Azmi Cercli United Arab Emirates,site:linkedin.com/in David Reche Cercli United Arab Emirates,https://ae.linkedin.com/in/akeedazmi,,,
Amira Sajwani,,PRYPCO,United Arab Emirates,site:linkedin.com/in Amira Sajwani PRYPCO United Arab Emirates,,https://ae.linkedin.com/in/amira-sajwani,,,
Roman Axelrod,Valentyn Volkov,XPANCEO,United Arab Emirates,site:linkedin.com/in Roman Axelrod XPANCEO United Arab Emirates,site:linkedin.com/in Valentyn Volkov XPANCEO United Arab Emirates,https://ae.linkedin.com/in/romanaxelrod,,,
Jonathan Low,Jonathan Low You Ting,Biptap,United Arab Emirates,site:linkedin.com/in Jonathan Low Biptap United Arab Emirates,site:linkedin.com/in Jonathan Low You Ting Biptap United Arab Emirates,https://sg.linkedin.com/in/jonathan-lowyt,,,
Arun Ramachandran,Ma Cinderella Odono,DeFi Technologies LLC,United Arab Emirates,site:linkedin.com/in Arun Ramachandran DeFi Technologies LLC United Arab Emirates,site:linkedin.com/in Ma Cinderella Odono DeFi Technologies LLC United Arab Emirates,https://ae.linkedin.com/in/arunramachandran2,,,
