co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Waleed Abd El Rahman,,Mumm,Egypt,site:linkedin.com/in Waleed Abd El Rahman Mumm Egypt,,https://eg.linkedin.com/in/waleed-abd-el-rahman,,,
Moataz El Wesimy,Mohamed ElSheikh,Loop Micromobility,Egypt,site:linkedin.com/in Moataz El Wesimy Loop Micromobility Egypt,site:linkedin.com/in Mohamed ElSheikh Loop Micromobility Egypt,,https://ae.linkedin.com/in/mohamed-elsheikh,,
Shady Badr,,Amwal,Egypt,site:linkedin.com/in Shady Badr Amwal Egypt,,https://eg.linkedin.com/in/shadybadr1,,,
Ahmad AbdulMuttaleb,Ahmed Hamaad,Seater,Egypt,site:linkedin.com/in Ahmad AbdulMuttaleb Seater Egypt,site:linkedin.com/in Ahmed Hamaad Seater Egypt,https://de.linkedin.com/in/abdulmuttaleb/de,,,
Farah Ahmed Farag,,The Baby Garage,Egypt,site:linkedin.com/in Farah Ahmed Farag The Baby Garage Egypt,,https://eg.linkedin.com/in/farahahmedfarag,,,
Gehad Abdullah,,Mermaid,Egypt,site:linkedin.com/in Gehad Abdullah Mermaid Egypt,,https://eg.linkedin.com/in/gehadabdullah,,,
Adham Molokhia,George Sami,Elmetr inc. (500 startups portfolio company),Egypt,site:linkedin.com/in Adham Molokhia Elmetr inc. (500 startups portfolio company) Egypt,site:linkedin.com/in George Sami Elmetr inc. (500 startups portfolio company) Egypt,,https://in.linkedin.com/in/jomonkoyippally,,
Majd Alhaj Ahmed,,WEDDnGO,Egypt,site:linkedin.com/in Majd Alhaj Ahmed WEDDnGO Egypt,,https://eg.linkedin.com/in/majd-alhaj-ahmed,,,
Waleed Elroby,,Fawaterak,Egypt,site:linkedin.com/in Waleed Elroby Fawaterak Egypt,,,,,
Ahmad Zalat,,Flick,Egypt,site:linkedin.com/in Ahmad Zalat Flick Egypt,,,,,
Belal El Borno,Mahmoud Maghraby,Yumamia,Egypt,site:linkedin.com/in Belal El Borno Yumamia Egypt,site:linkedin.com/in Mahmoud Maghraby Yumamia Egypt,https://www.linkedin.com/in/belalborno/,,,
Walid Rashwan,,1Trolley,Egypt,site:linkedin.com/in Walid Rashwan 1Trolley Egypt,,https://ae.linkedin.com/in/walid-rashwan-96b817a,,,
Dr. Karim Badawi,Sherif Elmahdy,Mazadat,Egypt,site:linkedin.com/in Dr. Karim Badawi Mazadat Egypt,site:linkedin.com/in Sherif Elmahdy Mazadat Egypt,https://ch.linkedin.com/in/dr-karim-badawi,,,
Ahmed Galal,,Taskty.com,Egypt,site:linkedin.com/in Ahmed Galal Taskty.com Egypt,,https://eg.linkedin.com/in/ahmed-galal-9b69a960,,,
Sameh Shaheen,,dreevo,Egypt,site:linkedin.com/in Sameh Shaheen dreevo Egypt,,,,,
Ahmed Elgouhary,Amin Elhemaily,Estshara,Egypt,site:linkedin.com/in Ahmed Elgouhary Estshara Egypt,site:linkedin.com/in Amin Elhemaily Estshara Egypt,,https://sa.linkedin.com/in/amin-elhemaily-001a0474,,
Mohamed Ezzat,Moustafa Eid,Lynks,Egypt,site:linkedin.com/in Mohamed Ezzat Lynks Egypt,site:linkedin.com/in Moustafa Eid Lynks Egypt,https://eg.linkedin.com/in/mohamed-ezzat-67aba7a4,,,
Ahmed Yahia,Saad Saleh,DentaCarts,Egypt,site:linkedin.com/in Ahmed Yahia DentaCarts Egypt,site:linkedin.com/in Saad Saleh DentaCarts Egypt,https://eg.linkedin.com/in/ahmed-yahia-6629273b,,,
Hatem Ayoub,Sameh Saleh,Tripdizer,Egypt,site:linkedin.com/in Hatem Ayoub Tripdizer Egypt,site:linkedin.com/in Sameh Saleh Tripdizer Egypt,,https://eg.linkedin.com/in/sameh-saleh9,,
Mazen Khalil,,Qruz,Egypt,site:linkedin.com/in Mazen Khalil Qruz Egypt,,,,,
Basem Elgalaly,Haitham Harras,Penta-b,Egypt,site:linkedin.com/in Basem Elgalaly Penta-b Egypt,site:linkedin.com/in Haitham Harras Penta-b Egypt,,https://eg.linkedin.com/in/haitham-harras-61017433,,
Ahmed Fayed,Mohamed Shaker,Patron,Egypt,site:linkedin.com/in Ahmed Fayed Patron Egypt,site:linkedin.com/in Mohamed Shaker Patron Egypt,https://eg.linkedin.com/in/ahmedalaafayed,,,
Ahmed Nounou,Mahmoud Sabae,Garment IO,Egypt,site:linkedin.com/in Ahmed Nounou Garment IO Egypt,site:linkedin.com/in Mahmoud Sabae Garment IO Egypt,https://eg.linkedin.com/in/ahmednounou,,,
Ahmed Mostafa,Nono Ghannam,Startups Galaxy,Egypt,site:linkedin.com/in Ahmed Mostafa Startups Galaxy Egypt,site:linkedin.com/in Nono Ghannam Startups Galaxy Egypt,https://eg.linkedin.com/in/ahmdabdrabou,,,
Mostafa Amer,,Shatablee,Egypt,site:linkedin.com/in Mostafa Amer Shatablee Egypt,,,,,
Mohamed Marei,Mostafa Hisham,Xpovi,Egypt,site:linkedin.com/in Mohamed Marei Xpovi Egypt,site:linkedin.com/in Mostafa Hisham Xpovi Egypt,https://eg.linkedin.com/in/mohamed-marei-cfa,,,
Mohamed Talal,,Dresscode,Egypt,site:linkedin.com/in Mohamed Talal Dresscode Egypt,,https://eg.linkedin.com/in/mohamed-talal-abdel-dayem-3454b58,,,
Rabab Farrag,,Inland Properties Group,Egypt,site:linkedin.com/in Rabab Farrag Inland Properties Group Egypt,,,,,
Ali Ibrahim,Amr Mostafa,Milango,Egypt,site:linkedin.com/in Ali Ibrahim Milango Egypt,site:linkedin.com/in Amr Mostafa Milango Egypt,https://eg.linkedin.com/in/amrmostafa11,,,
